user_query,command,description
Show me the command to copy file.txt to file.bak,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
How can I make an identical copy of file.txt and name it file.bak?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
Please provide the command to copy file.txt to file.bak,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
I want to create a backup `file.bak` of `file.txt`. What command do I run?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
"How do you copy a file, specifically `file.txt` to `file.bak`?",cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
What's the Linux command for copying `file.txt` to `file.bak`?,cp file.txt file.bak,Creates a backup copy of file.txt as file.bak.
How do I move `file.txt` to the `/tmp` directory?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
What's the command to relocate `file.txt` to `/tmp`?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
I need to put `file.txt` into `/tmp`. How can I do that?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
Can you show me the `mv` command to shift `file.txt` to `/tmp`?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
How do I transfer `file.txt` into the temporary directory?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
What's the proper way to get `file.txt` into `/tmp` using the terminal?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
I want to move `file.txt` to `/tmp`. Which command should I use?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
Tell me how to move `file.txt` to `/tmp`,mv file.txt /tmp,Moves file.txt to the /tmp directory.
How can I use `mv` to send `file.txt` to the `/tmp` folder?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
What's the syntax to move `file.txt` from its current location to `/tmp`?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
Could you provide the command to place `file.txt` inside `/tmp`?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
I need to move a file named `file.txt` into the `/tmp` filesystem path. How is that done?,mv file.txt /tmp,Moves file.txt to the /tmp directory.
"Delete file.txt, but ask for confirmation",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Remove file.txt, and prompt me before deleting",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Erase file.txt, confirming interactively",rm -i file.txt,Deletes file.txt with interactive confirmation.
Can you safely delete file.txt for me?,rm -i file.txt,Deletes file.txt with interactive confirmation.
"I need to remove file.txt, but please make sure it asks me to confirm",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Delete file.txt, but only after I approve the action",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Get rid of file.txt, and confirm the operation before proceeding",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Please remove file.txt, but with an 'are you sure?' prompt",rm -i file.txt,Deletes file.txt with interactive confirmation.
"I want to delete file.txt, but it needs a confirmation step",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Remove file.txt, but double-check with me first",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Erase file.txt, but ensure there's an interactive prompt",rm -i file.txt,Deletes file.txt with interactive confirmation.
"Could you delete file.txt, but require my explicit confirmation?",rm -i file.txt,Deletes file.txt with interactive confirmation.
How do I display `script.sh` with line numbers?,cat -n script.sh,Displays script.sh with line numbers.
Show me `script.sh` with numbered lines,cat -n script.sh,Displays script.sh with line numbers.
What's the command to view `script.sh` and include line numbers?,cat -n script.sh,Displays script.sh with line numbers.
I need to see `script.sh` with its lines numbered. How do I do that?,cat -n script.sh,Displays script.sh with line numbers.
Can you tell me how to `cat` a file like `script.sh` and show line numbers?,cat -n script.sh,Displays script.sh with line numbers.
How can I print `script.sh` to the terminal with each line preceded by a number?,cat -n script.sh,Displays script.sh with line numbers.
I want to list the contents of `script.sh` with line numbering enabled,cat -n script.sh,Displays script.sh with line numbers.
What command will display `script.sh` and automatically add line numbers?,cat -n script.sh,Displays script.sh with line numbers.
Help me view `script.sh` with line numbers,cat -n script.sh,Displays script.sh with line numbers.
Could you give me the command to output `script.sh` with numbered lines?,cat -n script.sh,Displays script.sh with line numbers.
I'm looking for a way to show `script.sh` with line numbers,cat -n script.sh,Displays script.sh with line numbers.
How do I get `cat` to output `script.sh` with numbered lines?,cat -n script.sh,Displays script.sh with line numbers.
How do I open `logfile.txt` with `less` and go straight to the end?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
What's the `less` command to view `logfile.txt` starting from the last line?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
I need to display the very end of `logfile.txt` using `less`. How do I do that?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
How can I make `less` open `logfile.txt` directly to its bottom?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
What's the quickest way to view the most recent entries in `logfile.txt` with `less`?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
Could you show me how to open `logfile.txt` in `less` and have it positioned at the end?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
"I want to use `less` to look at `logfile.txt`, but I only care about the last part",less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
Which `less` option will open `logfile.txt` right at the very end of the file?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
"How do I view `logfile.txt` with `less`, jumping immediately to the end?",less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
"Display `logfile.txt` using `less`, but start me at the bottom",less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
Is there a `less` command to open `logfile.txt` and immediately scroll to the last line?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
I want to check the end of `logfile.txt` using `less`. What's the command?,less +G logfile.txt,"Opens logfile.txt in less, starting at the end."
How do I see the first 20 lines of access.log?,head -n 20 access.log,Displays the first 20 lines of access.log.
Show me the top 20 lines of access.log,head -n 20 access.log,Displays the first 20 lines of access.log.
What's the command to display the first 20 lines of access.log?,head -n 20 access.log,Displays the first 20 lines of access.log.
I need to view the beginning 20 lines of access.log,head -n 20 access.log,Displays the first 20 lines of access.log.
Get the first 20 lines from access.log,head -n 20 access.log,Displays the first 20 lines of access.log.
How can I print the initial 20 lines of access.log?,head -n 20 access.log,Displays the first 20 lines of access.log.
Display the first twenty lines of access.log,head -n 20 access.log,Displays the first 20 lines of access.log.
"I want to look at the start of access.log, just the first 20 lines",head -n 20 access.log,Displays the first 20 lines of access.log.
What's the `head` command for 20 lines of access.log?,head -n 20 access.log,Displays the first 20 lines of access.log.
Can you tell me how to extract the first 20 lines of access.log?,head -n 20 access.log,Displays the first 20 lines of access.log.
Show me only the first 20 lines from access.log,head -n 20 access.log,Displays the first 20 lines of access.log.
Output the first 20 lines of the access.log file,head -n 20 access.log,Displays the first 20 lines of access.log.
"Show me the `error.log` file, but start from the second line",tail -n +2 error.log,Displays error.log starting from the second line.
I need to see `error.log` without the first line,tail -n +2 error.log,Displays error.log starting from the second line.
Can you display `error.log` from line two onwards?,tail -n +2 error.log,Displays error.log starting from the second line.
"What does `error.log` contain, skipping the very first entry?",tail -n +2 error.log,Displays error.log starting from the second line.
Output `error.log` beginning with its second line,tail -n +2 error.log,Displays error.log starting from the second line.
"Get me the contents of `error.log`, excluding the header line",tail -n +2 error.log,Displays error.log starting from the second line.
View `error.log` from the second line,tail -n +2 error.log,Displays error.log starting from the second line.
"I need to analyze `error.log`, but the first line isn't relevant; show me everything else",tail -n +2 error.log,Displays error.log starting from the second line.
Start displaying `error.log` from the second line,tail -n +2 error.log,Displays error.log starting from the second line.
Display `error.log` after the first line,tail -n +2 error.log,Displays error.log starting from the second line.
"Could you please print `error.log`, commencing from the second line?",tail -n +2 error.log,Displays error.log starting from the second line.
Skip the first line of `error.log` and show me the rest,tail -n +2 error.log,Displays error.log starting from the second line.
How do I go back to the previous directory?,cd -,Returns to the previous directory.
What's the command to return to the last directory?,cd -,Returns to the previous directory.
I need to switch back to where I was before,cd -,Returns to the previous directory.
Take me to the directory I was just in,cd -,Returns to the previous directory.
How can I jump back to my previous working directory?,cd -,Returns to the previous directory.
Revert to the last visited directory,cd -,Returns to the previous directory.
Is there a quick way to get back to the folder I just left?,cd -,Returns to the previous directory.
What's the shortcut to go to the directory I was in before?,cd -,Returns to the previous directory.
I want to undo my last directory change,cd -,Returns to the previous directory.
Can you show me how to navigate back to the prior directory?,cd -,Returns to the previous directory.
How do I return to the directory before this one?,cd -,Returns to the previous directory.
"Back to the previous location, please",cd -,Returns to the previous directory.
"How do I list files sorted by modification time, newest first?",ls -t,"Lists files sorted by modification time, newest first."
"What's the command to display files, ordered by their last updated timestamp, with the most recent at the top?",ls -t,"Lists files sorted by modification time, newest first."
"I want to see a list of files, showing the latest changes first. What's the command for that?",ls -t,"Lists files sorted by modification time, newest first."
"Could you show me the files in this directory, sorted by when they were last modified, from newest to oldest?",ls -t,"Lists files sorted by modification time, newest first."
"How can I get a chronological list of files, where the most recently edited ones appear first?",ls -t,"Lists files sorted by modification time, newest first."
"What command will list files and order them by modification date, showing the newest entries first?",ls -t,"Lists files sorted by modification time, newest first."
"I need to view files, with the newest files by timestamp at the beginning of the list. How do I do that?",ls -t,"Lists files sorted by modification time, newest first."
"Display files sorted by their modification time, with the newest ones at the top",ls -t,"Lists files sorted by modification time, newest first."
"Give me a list of files, ordered by recency of modification, so the newest are shown first",ls -t,"Lists files sorted by modification time, newest first."
Is there a way to list files where the ones modified most recently are shown first?,ls -t,"Lists files sorted by modification time, newest first."
How do I get a directory listing that shows the most recent files by modification time first?,ls -t,"Lists files sorted by modification time, newest first."
"Show me the files, sorted by the time they were last changed, with the newest files appearing first",ls -t,"Lists files sorted by modification time, newest first."
Show me the absolute physical path of my current working directory,pwd -P,"Prints the physical current directory, resolving symlinks."
What's the command to display my current location without showing any symlink components?,pwd -P,"Prints the physical current directory, resolving symlinks."
I need to print the resolved path of where I am right now,pwd -P,"Prints the physical current directory, resolving symlinks."
"How do I get my current directory's true location, ignoring any symbolic links?",pwd -P,"Prints the physical current directory, resolving symlinks."
"Can you tell me the command to output the actual directory I'm in, not the logical one?",pwd -P,"Prints the physical current directory, resolving symlinks."
"Execute `pwd -P` for me, please",pwd -P,"Prints the physical current directory, resolving symlinks."
"I'm trying to find the real directory path, bypassing any shortcuts. How do I do that?",pwd -P,"Prints the physical current directory, resolving symlinks."
What's the best way to determine the current physical working directory?,pwd -P,"Prints the physical current directory, resolving symlinks."
"Display my present directory, making sure to follow all symlinks to their destination",pwd -P,"Prints the physical current directory, resolving symlinks."
Could you provide the command to get the canonical path of my current location?,pwd -P,"Prints the physical current directory, resolving symlinks."
I need to know the absolute path of my directory without any symbolic links in the output,pwd -P,"Prints the physical current directory, resolving symlinks."
"Print the effective directory I'm currently in, resolving all symbolic links",pwd -P,"Prints the physical current directory, resolving symlinks."
"How do I copy file.txt to /backup, preserving its permissions and timestamps?",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"What's the command to transfer file.txt to /backup, retaining its original attributes?",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"I need to create an exact duplicate of file.txt in /backup, keeping all its metadata. How do I do that?",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
Can you give me the command to copy file.txt into /backup and maintain its modification times and permissions?,cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
What's the Linux command to replicate file.txt to /backup with its original mode and timestamps?,cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
How can I copy file.txt to /backup and ensure the new file has the same timestamps and permissions?,cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"Please tell me the command to copy file.txt to /backup, making sure all original properties are carried over",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"I want to make a copy of file.txt in /backup that's identical in terms of permissions, ownership, and timestamps",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"Which command should I use to back up file.txt to /backup, maintaining its existing access and modification times?",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
I need file.txt to be copied to /backup with its original filesystem attributes. What's the command?,cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"How do I perform a complete copy of file.txt to /backup, including its permissions, timestamps, and ownership?",cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
What's the best way to copy file.txt to /backup while preserving its full file mode and timestamps?,cp -p file.txt /backup,"Copies file.txt to /backup, preserving timestamps and permissions."
"Move `file.txt` to `/tmp`, asking me to confirm any overwrites",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"I need to move `file.txt` to `/tmp`, but please prompt me before overwriting an existing file",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"Relocate `file.txt` to `/tmp`, interactively, so I'm warned about existing files",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
How can I transfer `file.txt` into `/tmp` and be prompted if it already exists?,mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"Shift `file.txt` to `/tmp`, ensuring it asks me before replacing anything",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
Could you move `file.txt` to `/tmp` and make sure it doesn't overwrite without confirmation?,mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"I want to put `file.txt` in `/tmp`, but I need it to prompt me if a file with that name is already there",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
Perform an interactive move of `file.txt` to `/tmp`,mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"Move `file.txt` to `/tmp`, and confirm with me if an overwrite would occur",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
"Send `file.txt` to `/tmp`, but check with me before replacing any files",mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
I'd like to move `file.txt` to `/tmp` with overwrite protection,mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
Place `file.txt` in `/tmp` and ask for my permission if it's going to overwrite an existing file,mv -i file.txt /tmp,Moves file.txt to /tmp with interactive prompt for overwrite.
Delete `dir1` recursively,rm -r dir1,Recursively deletes dir1 and its contents.
How do I remove `dir1` and all its contents?,rm -r dir1,Recursively deletes dir1 and its contents.
Erase the `dir1` directory completely,rm -r dir1,Recursively deletes dir1 and its contents.
I need to get rid of `dir1` and everything inside it,rm -r dir1,Recursively deletes dir1 and its contents.
Recursively remove the directory `dir1`,rm -r dir1,Recursively deletes dir1 and its contents.
Wipe `dir1` and its subdirectories,rm -r dir1,Recursively deletes dir1 and its contents.
How can I forcefully delete `dir1`?,rm -r dir1,Recursively deletes dir1 and its contents.
I want to permanently delete `dir1` and everything under it,rm -r dir1,Recursively deletes dir1 and its contents.
Remove `dir1` along with all files and folders it contains,rm -r dir1,Recursively deletes dir1 and its contents.
Can I delete `dir1` and all of its nested files?,rm -r dir1,Recursively deletes dir1 and its contents.
Get rid of the `dir1` folder and everything within it,rm -r dir1,Recursively deletes dir1 and its contents.
How do I clear out `dir1` completely?,rm -r dir1,Recursively deletes dir1 and its contents.
"How do I set the modification timestamp of `file.txt` to May 21, 2025, at 12:00 PM?",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
What's the `touch` command to make `file.txt`'s date 2025-05-21 and time 12:00?,touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"I need to change the date and time of `file.txt` to May 21st, 2025, at noon. How do I do it?",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"Set `file.txt`'s last modified time to May 21, 2025, 12:",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
What command can I use to update `file.txt`'s timestamp to '2025-05-21 12:00'?,touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"How do I make `file.txt` appear as if it was last modified on May 21st, 2025, at 12 PM?",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
Can you provide the `touch` command to set `file.txt`'s date and time to 2025-05-21 12:00?,touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"I want to explicitly assign the timestamp May 21, 2025, 12:00 to `file.txt`. What's the command?",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"Tell me how to adjust `file.txt`'s modification date to May 21, 2025, 12:",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"How can I force `file.txt`'s timestamp to be May 21st, 2025, 12:00?",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"I need to get `file.txt` to show a modified date of 2025-05-21, 12 PM. Command, please",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
"Use `touch` to set `file.txt`'s access and modification times to May 21, 2025, 12:",touch -t 202505211200 file.txt,"Sets file.txt's timestamp to May 21, 2025, 12:00."
Please create a directory named `newdir`,mkdir newdir,Creates a directory named newdir.
Can you make a new folder called `newdir`?,mkdir newdir,Creates a directory named newdir.
I need a directory named `newdir`,mkdir newdir,Creates a directory named newdir.
Let's set up a directory called `newdir`,mkdir newdir,Creates a directory named newdir.
Make a directory with the name `newdir`,mkdir newdir,Creates a directory named newdir.
Could you create `newdir` for me?,mkdir newdir,Creates a directory named newdir.
I'd like to make a directory named `newdir`,mkdir newdir,Creates a directory named newdir.
Establish a new directory named `newdir`,mkdir newdir,Creates a directory named newdir.
Please generate a directory called `newdir`,mkdir newdir,Creates a directory named newdir.
Create the folder `newdir`,mkdir newdir,Creates a directory named newdir.
Could you please create a `newdir` directory?,mkdir newdir,Creates a directory named newdir.
I need to create a `newdir` folder,mkdir newdir,Creates a directory named newdir.
How can I use `less` to continuously monitor `logfile.txt` for new entries?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
"What's the `less` command to follow `logfile.txt` for live updates, similar to `tail -f`?",less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
I need to watch `logfile.txt` in `less` and have it automatically refresh as new lines are added,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
How do I get `less` to behave like `tail -f` on `logfile.txt`?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
Could you tell me the command to view `logfile.txt` with `less` and see changes in real-time?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
What's the best way to keep `logfile.txt` open in `less` and have it scroll to show new data?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
Give me the `less` command that automatically displays appended content in `logfile.txt`,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
I want to use `less` to track `logfile.txt` for new log events. How do I do that?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
Show me the command to run `less` on `logfile.txt` in a mode that always displays the latest additions,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
How can I set up `less` to continuously update its view of `logfile.txt` as it grows?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
What's the `less` equivalent for monitoring `logfile.txt` dynamically?,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
I'd like to view `logfile.txt` in `less` and have it automatically jump to the end for new content,less +F logfile.txt,"Monitors logfile.txt in less, similar to tail -f."
How do I display the first 100 bytes of `file.txt`?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
I need to see the initial 100 bytes of `file.txt`. What's the command?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
Show me only the first 100 bytes from the start of `file.txt`,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
What command will extract the first 100 bytes of `file.txt`?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
"Could you tell me how to view the beginning of `file.txt`, specifically limiting it to 100 bytes?",head -c 100 file.txt,Displays the first 100 bytes of file.txt.
Just give me the top 100 bytes of `file.txt`,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
I'm trying to get a 100-byte preview of `file.txt`. How do I do that?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
What's the Linux command to get the first 100 bytes of `file.txt`?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
Please provide the command to output the leading 100 bytes of `file.txt`,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
"I need to see the very beginning of `file.txt`, capped at 100 bytes",head -c 100 file.txt,Displays the first 100 bytes of file.txt.
How can I read just the first 100 bytes of `file.txt`?,head -c 100 file.txt,Displays the first 100 bytes of file.txt.
"Display the first hundred bytes of `file.txt`, please",head -c 100 file.txt,Displays the first 100 bytes of file.txt.
How do I see the last 5 lines of `access.log`?,tail -n 5 access.log,Displays the last 5 lines of access.log.
Show me the final five lines of `access.log`,tail -n 5 access.log,Displays the last 5 lines of access.log.
"What's the command to display the end of `access.log`, specifically the last 5 lines?",tail -n 5 access.log,Displays the last 5 lines of access.log.
I need to view the most recent 5 entries in `access.log`,tail -n 5 access.log,Displays the last 5 lines of access.log.
Can you get me the bottom 5 lines from `access.log`?,tail -n 5 access.log,Displays the last 5 lines of access.log.
How do I use `tail` to get the last 5 lines of `access.log`?,tail -n 5 access.log,Displays the last 5 lines of access.log.
Give me the last five lines of the `access.log` file,tail -n 5 access.log,Displays the last 5 lines of access.log.
What's the syntax for showing the last 5 lines of `access.log`?,tail -n 5 access.log,Displays the last 5 lines of access.log.
I want to check the last 5 lines of `access.log`,tail -n 5 access.log,Displays the last 5 lines of access.log.
Display only the very last 5 lines of `access.log`,tail -n 5 access.log,Displays the last 5 lines of access.log.
"From `access.log`, how do I extract just the final 5 lines?",tail -n 5 access.log,Displays the last 5 lines of access.log.
Tell me the command to view the last 5 lines of `access.log`,tail -n 5 access.log,Displays the last 5 lines of access.log.
How do I check my system's machine architecture?,uname -m,Displays the machine hardware architecture.
What's the command to display the hardware architecture?,uname -m,Displays the machine hardware architecture.
Could you please run `uname -m`?,uname -m,Displays the machine hardware architecture.
I need to find out my machine's architecture,uname -m,Displays the machine hardware architecture.
Show me the CPU architecture,uname -m,Displays the machine hardware architecture.
How can I determine the system's hardware type?,uname -m,Displays the machine hardware architecture.
Please run the command to show the machine architecture,uname -m,Displays the machine hardware architecture.
What's the output of `uname -m`?,uname -m,Displays the machine hardware architecture.
Display the machine's architecture,uname -m,Displays the machine hardware architecture.
Can you tell me this system's hardware architecture?,uname -m,Displays the machine hardware architecture.
I need to know the machine type,uname -m,Displays the machine hardware architecture.
Give me the machine's hardware architecture information,uname -m,Displays the machine hardware architecture.
Run `top` just once,top -n 1,Runs top for one iteration and exits.
Show me the `top` output and then quit,top -n 1,Runs top for one iteration and exits.
Execute `top` for a single iteration,top -n 1,Runs top for one iteration and exits.
Could you run `top -n 1` for me?,top -n 1,Runs top for one iteration and exits.
I need a quick snapshot from `top`,top -n 1,Runs top for one iteration and exits.
Perform one cycle of `top`,top -n 1,Runs top for one iteration and exits.
Run `top` and exit after the first update,top -n 1,Runs top for one iteration and exits.
"Just show me the `top` processes, then stop",top -n 1,Runs top for one iteration and exits.
What does `top` display if it runs only once?,top -n 1,Runs top for one iteration and exits.
Please run `top` with the `-n 1` argument,top -n 1,Runs top for one iteration and exits.
"I want to see the `top` command output, but not continuously",top -n 1,Runs top for one iteration and exits.
Give me the output of `top` for one refresh,top -n 1,Runs top for one iteration and exits.
How can I see my disk usage along with the filesystem types?,df -T,Shows disk usage with filesystem types.
What's the command to show disk space and its filesystem format?,df -T,Shows disk usage with filesystem types.
"I need to check disk utilization, and I'd like to know the filesystem types",df -T,Shows disk usage with filesystem types.
"Display the disk free space, including what kind of filesystem each partition uses",df -T,Shows disk usage with filesystem types.
Could you run `df -T` for me?,df -T,Shows disk usage with filesystem types.
"Show me the disk usage, and specify the filesystem type for each entry",df -T,Shows disk usage with filesystem types.
I'm trying to get a report of disk space and the types of filesystems,df -T,Shows disk usage with filesystem types.
What command gives me a list of disk usage with their respective filesystem types?,df -T,Shows disk usage with filesystem types.
"Please provide the disk usage information, showing the filesystem categories",df -T,Shows disk usage with filesystem types.
Can you tell me how much disk space is left and what filesystem is on each drive?,df -T,Shows disk usage with filesystem types.
"I want to view the disk usage breakdown, including the filesystem types",df -T,Shows disk usage with filesystem types.
"Just give me the disk usage details, plus the filesystem type",df -T,Shows disk usage with filesystem types.
Run `free -t`,free -t,"Displays total memory usage, including swap."
Show me the total memory usage,free -t,"Displays total memory usage, including swap."
